Username,SprintNumber,OffDate,Reason,CreatedBy,CreatedAt
iibarraflores,5,2025-12-31,,admin,2026-01-05 14:59:17
iibarraflores,5,2026-01-01,,admin,2026-01-05 14:59:17
mkusumo,1,2026-01-13,,admin,2026-01-14 13:29:13
mkusumo,1,2026-01-14,,admin,2026-01-14 13:29:13
mkusumo,1,2026-01-15,,admin,2026-01-14 13:29:13
iibarraflores,1,2026-01-19,,admin,2026-01-16 08:48:40
clee,1,2026-01-19,,admin,2026-01-16 08:48:40
mkusumo,1,2026-01-19,,admin,2026-01-16 08:48:40
mjimeno,1,2026-01-19,,admin,2026-01-16 08:48:40
fsharifi,1,2026-01-19,,admin,2026-01-16 08:48:40
creyes,1,2026-01-19,,admin,2026-01-16 08:48:40
jskinta,1,2026-01-19,,admin,2026-01-16 08:48:40
ansharma,1,2026-01-19,,admin,2026-01-16 08:48:40
dxu,1,2026-01-19,,admin,2026-01-16 08:48:40
dmaglinte,1,2026-01-19,,admin,2026-01-16 08:48:40
hhakimjavadi,1,2026-01-19,,admin,2026-01-16 08:48:40
rrene,1,2026-01-19,,admin,2026-01-16 08:48:40
yapan,1,2026-01-19,,admin,2026-01-16 08:48:40
dbuckley,1,2026-01-19,,admin,2026-01-16 08:48:40
amarkowitz,1,2026-01-19,,admin,2026-01-16 08:48:40
