RECID,CREATEDBY,CREATEDDATETIME,LASTMODBY,LASTMODDATETIME,READONLY,CATEGORY,DESCRIPTION,LOGDATE,MINUTESSPENT,PARENTLINK_CATEGORY,PARENTLINK_RECID,CATEGORY_VALID,SHORTDESCRIPTION
31BCFACDC7564E9FA07FCDFC3B72CD3E,jskinta,2025-09-25T22:21:42.000,jskinta,2025-09-25T22:21:42.000,,C62843D5DF3B4AEE90B0E9AED1468D9F,,2025-09-25T07:00:00.000,45,Task.Assignment,353906CF848445E6B6A9B56C090D465F,C62843D5DF3B4AEE90B0E9AED1468D9F,
A51EA34F04B04C9EB909DEF2868CCE4C,dmaglinte,2025-11-22T01:44:03.000,dmaglinte,2025-11-22T02:48:05.000,,AA68E28563F04046AD1E5266AC6A327C,Meeting with CHLA team and vendor.,2025-11-20T08:00:00.000,30,Task.Assignment,F787CB81AE7E44AAA88E4A8E84213BBA,AA68E28563F04046AD1E5266AC6A327C,CHLA-HistoTrac
3FC06EF4A4BE4C9DB874D2624E2F3148,dmaglinte,2025-11-19T04:15:25.000,dmaglinte,2025-11-19T04:20:43.000,,AA68E28563F04046AD1E5266AC6A327C,,2025-11-17T08:00:00.000,35,Task.Assignment,F787CB81AE7E44AAA88E4A8E84213BBA,AA68E28563F04046AD1E5266AC6A327C,Sync meeting with project team
DBBFF296733E42FCB9B733298534C3A5,dmaglinte,2025-12-06T01:27:08.000,dmaglinte,2025-12-06T01:27:17.000,,AA68E28563F04046AD1E5266AC6A327C,Adhoc meeting with Nick and PIBIDS team to discuss status of Histotrac project. Debrief with Catherine.,2025-12-04T08:00:00.000,45,Task.Assignment,F787CB81AE7E44AAA88E4A8E84213BBA,AA68E28563F04046AD1E5266AC6A327C,Historac Update
DD7EAF7B6B6E489EA339D1AF11D7179E,dmaglinte,2025-12-06T01:28:02.000,dmaglinte,2025-12-06T01:28:02.000,,AA68E28563F04046AD1E5266AC6A327C,Update Srikar on status and events of the day as they related to HIstorac.,2025-12-04T08:00:00.000,40,Task.Assignment,F787CB81AE7E44AAA88E4A8E84213BBA,AA68E28563F04046AD1E5266AC6A327C,Sync with Srikar
259A012715324F32B735792F6D2F65AF,dmaglinte,2025-11-22T02:46:15.000,dmaglinte,2025-11-22T02:48:09.000,,AA68E28563F04046AD1E5266AC6A327C,Sync with Catherine oh builds.,2025-11-20T08:00:00.000,15,Task.Assignment,F787CB81AE7E44AAA88E4A8E84213BBA,AA68E28563F04046AD1E5266AC6A327C,Historac sync
7D36D54D7BA34985923CFC279F629069,dmaglinte,2025-12-06T01:29:17.000,dmaglinte,2025-12-06T01:29:17.000,,26828DBC12D74EBD99EB83C71B13AA00,,2025-12-04T08:00:00.000,25,Task.Assignment,F787CB81AE7E44AAA88E4A8E84213BBA,26828DBC12D74EBD99EB83C71B13AA00,Wrote draft email to leadership updating status and coordinated with Nick.
6075B007F0C344AF902D003A464427FE,dmaglinte,2025-11-22T01:50:45.000,dmaglinte,2025-11-22T01:50:45.000,,AA68E28563F04046AD1E5266AC6A327C,,2025-11-20T08:00:00.000,10,Task.Assignment,F787CB81AE7E44AAA88E4A8E84213BBA,AA68E28563F04046AD1E5266AC6A327C,Meeting with Hesam to sync on data integrity and all related efforts.
6BB7667ABA154DEC8EC95E0D048FD47E,jskinta,2025-09-30T01:57:55.000,jskinta,2025-09-30T01:57:55.000,,F4E2DD4A9E4D44599E01BF906178AF6D,,2025-09-29T07:00:00.000,5,Task.Assignment,299E769D511E4AFDAB14B9C90F984559,F4E2DD4A9E4D44599E01BF906178AF6D,
D580E628612A4269A6E8414C0A964672,jskinta,2025-11-18T07:26:04.000,jskinta,2025-11-18T07:26:04.000,,F4E2DD4A9E4D44599E01BF906178AF6D,,2025-11-17T08:00:00.000,15,Task.Assignment,FE42D0D5D36340FEA936FFDB150226BC,F4E2DD4A9E4D44599E01BF906178AF6D,
